from,to,references
1381055875,1770368188,12
1400488614,1770368188,1
1883702819,1770368188,1
1395221453,1770368188,1
1884129985,1770368188,34
1268143151,1770368188,4
1215855026,1770368188,3
1528045757,1770368188,13
1303089864,1770368188,8
1206720213,1770368188,1
1780320122,1770368188,3
1158343216,1770368188,1
1291846215,1770368188,1
1435609646,1770368188,1
1694116569,1770368188,1
1463909218,1770368188,1
1434194408,1770368188,1
1678988598,1770368188,5
1493932793,1770368188,1
1458480018,1770368188,2
1770368188,1770368188,5
1282206922,1770368188,4
1785021761,1770368188,1
1628445938,1770368188,1
1192349175,1770368188,1
1235779695,1770368188,2
1435609646,1720389407,1
1229525984,1720389407,1
1480916688,1720389407,1
1232052560,1720389407,4
1622911678,1720389407,1
1249907791,1720389407,2
1216193479,1720389407,1
1420055454,1720389407,1
1220016457,1720389407,1
1266927523,1720389407,1
1214662276,1720389407,1
1150849367,1720389407,5
1660853432,1720389407,1
1571486974,1720389407,1
1528045757,1720389407,2
1451350009,1720389407,30
1692538789,1720389407,1
1123657266,1720389407,1
1263639526,1720389407,12
1512943320,1720389407,2
1653583193,1720389407,1
1396124827,1720389407,1
1499098030,1720389407,1
1962212724,1720389407,1
1288641123,1720389407,5
1795265206,1720389407,4
1415768108,1720389407,10
1300351181,1720389407,2
1674708431,1720389407,2
1886831647,1720389407,1
1758294908,1720389407,16
1646496672,1720389407,14
1855762283,1720389407,1
1252903363,1720389407,1
1385221185,1720389407,1
1576082206,1720389407,1
1192246722,1720389407,1
1780320122,1720389407,7
1750557911,1720389407,4
1617013656,1720389407,8
1347756517,1720389407,1
1607444107,1720389407,4
1309673375,1720389407,2
1796735800,1720389407,2
1828897862,1720389407,3
1785021761,1720389407,1
1484356321,1720389407,1
1876516292,1720389407,1
1580738242,1720389407,2
1642651925,1720389407,1
1586752346,1720389407,1
1388025017,1720389407,1
1263886969,1720389407,1
1629308005,1720389407,4
1614910693,1720389407,3
1902266723,1720389407,1
1753786697,1720389407,1
1492038982,1720389407,1
1388515177,1720389407,3
1195438885,1720389407,1
1685376115,1720389407,1
1524189467,1720389407,1
1578821647,1720389407,1
1610133347,1720389407,7
1588600506,1720389407,1
1454657736,1720389407,2
1179424306,1720389407,3
1676792317,1720389407,7
1870934558,1720389407,39
1769209859,1720389407,2
1474612540,1720389407,9
1368664616,1720389407,2
1455227024,1720389407,35
1649886663,1720389407,15
1265355020,1720389407,1
1799898734,1720389407,1
1347986142,1720389407,5
1400434685,1720389407,1
1536437370,1720389407,6
1291846215,1720389407,2
1720135876,1720389407,1
1434188731,1720389407,3
1319373612,1720389407,2
1667470730,1720389407,4
1874427769,1720389407,1
1734207792,1720389407,2
1290725179,1720389407,3
1303835387,1720389407,2
1236346229,1720389407,1
1883702819,1720389407,2
1793357530,1720389407,2
1746754148,1720389407,1
1735418495,1720389407,1
1611856276,1720389407,2
1423067064,1720389407,5
1531245360,1720389407,6
1714367286,1720389407,2
1485461318,1720389407,14
1546603317,1720389407,27
1483299455,1720389407,2
1632456920,1720389407,1
1325874717,1720389407,2
1544317965,1720389407,1
1884129985,1720389407,4
1496195662,1720389407,19
1653562191,1720389407,1
1773879520,1720389407,1
1330998153,1720389407,2
1383517302,1720389407,2
1610750014,1720389407,9
1603432390,1720389407,1
1197014308,1720389407,3
1178989752,1720389407,12
1284383291,1720389407,1
1192193228,1720389407,3
1540282753,1720389407,1
1718843636,1720389407,1
1540638491,1720389407,12
1395110101,1720389407,3
1353784706,1720389407,1
1761977616,1720389407,1
1770368188,1720389407,1
1429696375,1720389407,2
1435982362,1720389407,1
1451905745,1720389407,1
1493932793,1720389407,4
1765036398,1720389407,1
1795647281,1720389407,20
1282206922,1720389407,5
1229606559,1720389407,1
1634863743,1720389407,2
1280917498,1720389407,1
1411356712,1720389407,1
1745031598,1720389407,1
1413903316,1720389407,14
1159266445,1720389407,2
1402823691,1720389407,4
1406133572,1720389407,1
1802023597,1720389407,1
1237147604,1720389407,8
1512214198,1720389407,1
1464667483,1720389407,1
1505034921,1720389407,1
1391578486,1720389407,1
1613089923,1720389407,1
1357939367,1720389407,1
1876989536,1720389407,3
1618047173,1720389407,1
1744701864,1720389407,5
1288809798,1720389407,2
1475754218,1720389407,1
1759858174,1720389407,8
1896687370,1720389407,2
1910294769,1720389407,5
1530205157,1720389407,9
1822037496,1720389407,1
1619667093,1720389407,1
1658077441,1720389407,1
1749145560,1720389407,1
1408548985,1720389407,1
1452565580,1720389407,2
1681044339,1720389407,1
1543164824,1720389407,11
1841371008,1720389407,2
1303089864,1720389407,4
1570117008,1720389407,1
1781115595,1720389407,1
1685423824,1720389407,5
1703795899,1720389407,3
1733306194,1720389407,5
1899961042,1720389407,4
1381055875,1720389407,10
1482198482,1720389407,2
1282230758,1720389407,10
1624048039,1720389407,1
1289680855,1720389407,1
1326329344,1720389407,1
1341385488,1720389407,1
1493732793,1720389407,1
1215855026,1720389407,1
1625319395,1720389407,2
1822240550,1720389407,1
1700898276,1720389407,12
1759155377,1720389407,1
1694116569,1720389407,2
1670314096,1720389407,2
1449700943,1720389407,1
1528501977,1720389407,1
1202024582,1720389407,1
1418544500,1720389407,7
1605572695,1720389407,5
1528501977,1780320122,1
1381055875,1780320122,3
1531245360,1780320122,3
1703795899,1780320122,1
1483299455,1780320122,1
1402823691,1780320122,3
1455227024,1780320122,1
1185329367,1780320122,8
1325874717,1780320122,1
1617013656,1780320122,1
1614541852,1780320122,1
1605572695,1780320122,4
1451350009,1780320122,1
1746291018,1780320122,2
1720389407,1780320122,8
1683273003,1780320122,1
1178989752,1780320122,1
1220016457,1780320122,1
1758294908,1780320122,3
1358545890,1780320122,1
1610133347,1780320122,1
1586752346,1780320122,1
1795265206,1780320122,1
1220016457,1879356591,2
1966025103,1879356591,1
1841371008,1879356591,5
1255298207,1879356591,1
1646496672,1879356591,1
1381055875,1879356591,2
1795647281,1879356591,1
1451350009,1879356591,1
1570117008,1879356591,1
1884129985,1879356591,1
1418544500,1879356591,1
1664292721,1406133572,1
1876989536,1406133572,1
1288641123,1406133572,2
1383517302,1406133572,4
1784497505,1406133572,1
1300351181,1406133572,1
1540638491,1406133572,8
1641826716,1406133572,44
1796735800,1406133572,1
